user_name,favorites,retweets,user_screen_name,created_at,text,user_id,tweet_id
ITrheinmain,0,0,7.67803E+17,1.51013E+12,Wir suchen: SAP Analytics Consultant (w/m) @arithnea #Consultant #BI #Analyst #SAP http://r.ebnd.de/r/19-ZBl ,7.67803E+17,9.28195E+17
Jo Kruger SAP MENA,0,0,563710572,1.51013E+12,SAP Academy for #Sales: Account #Executive (Associ... at #SAP (#MuscatDUAE) #job https://workfor.us/lifeatsap/11oi8h … #JobsatSAPpic.twitter.com/rkJIAy2Et6,563710572,9.28195E+17
Donie,0,0,23099129,1.51013E+12,Today wasn’t great but it’s a wonder what a free pizza and a hug can do for you. #sap pic.twitter.com/VFzbLj4Axk,23099129,9.28195E+17
B-Lynk,0,0,8.44658E+17,1.51013E+12,Expert Insight: What is #SAP Partner Managed Cloud? Read the blog post via @symmetry_corp.  https://buff.ly/2yeERrN  #cloudcomputing #iotpic.twitter.com/w2h6DZyV9n,8.44658E+17,9.28194E+17
SAP Learning,0,0,9.08241E+17,1.51013E+12,"SAP Production Planning
☞ http://on.learn4startup.com/HyQpjepCW 
#SAP
HyxQTolp0Z pic.twitter.com/sBvIZTuyne",9.08241E+17,9.28194E+17
SAP Online,0,0,9.08242E+17,1.51013E+12,"SAP : Supply Chain Logistics in R/3
☞ http://on.learn4startup.com/Syt0oxaAZ 
#SAP
SyKRol6Cb pic.twitter.com/VSNOaToXvf",9.08242E+17,9.28194E+17
David Johnson: Ariba,0,0,2166588734,1.51013E+12,#SAPHybris #SalesCloud & #ServiceCloud Boost Customer ROI & Productivity https://buff.ly/2zkoZHY  #SAP pic.twitter.com/KsdtI4nOCk,2166588734,9.28194E+17
Frank Geisler,0,0,634338098,1.51013E+12,Mitarbeiter von Lenovo Schweiz hängen ihren Job an den Nagel http://www.linkedin.com/pulse/mitarbeiter-von-lenovo-schweiz-h%C3%A4ngen-ihren-job-den-nagel-geisler?trk=mp-reader-card … #SAP,634338098,9.28193E+17
Tim Singer,1,0,579942305,1.51013E+12,Benefits of #SAP CoPilot   @totev #GartnerSYM #S4HANA #cloudpic.twitter.com/u7zdbX52pi,579942305,9.28193E+17
ProactiveIT,0,0,4352684303,1.51013E+12,Our client is currently looking for an experienced Senior #SAP SD #BusinessAnalyst.  https://goo.gl/AUsrkr  #TechTalent #ITJobspic.twitter.com/xGrLIhoCLe,4352684303,9.28193E+17
G3G,0,0,982684850,1.51013E+12,The CFO’s Evolution from Number Wizard to Data Magician https://hubs.ly/H09377q0  by @G3Gnews #SAP #SAPS4HANA #S4HANA,982684850,9.28193E+17
Gary Erickson,0,0,372935704,1.51013E+12,"1,000+ customers are live on #SAP #S4HANA. See why they are embracing this new digital core. https://partneredge.sap.com/en/library/assets/products/ent_mng/s4h/market/ccw_ss_s4hana_ebook_customersuccess.html … #SAPPartners",372935704,9.28193E+17
Vitaliy Rudnytskiy,0,0,138823701,1.51013E+12,"#SAP #WebIDE Versions… Which do I use…? 

https://blogs.sap.com/2017/09/19/sap-web-ide-versions...-which-do-i-use.../ … by @MKeidar",138823701,9.28192E+17
Luis Salvador ·,1,0,19287519,1.51013E+12,"#SAP Support Expert Chat as the trending topic in #soled2017
I lost the count of mentions. 
We are here for solman not for a chat...",19287519,9.28192E+17
Ingeniero Dilbert,0,0,2238342775,1.51013E+12,http://dilbert.com  http://ift.tt/2m37FBY  #SAP #Dilbert,2238342775,9.28192E+17
SAP✬WIFI PIKACHU®,0,0,354955457,1.51013E+12,check this FB Page and Apply for those Job updates  here #sap #fiori https://www.facebook.com/SapJobsPromoterIndia/ …,354955457,9.28192E+17
IT Leadership Jobs,0,0,7.67461E+17,1.51013E+12,EU Trade Compliance Import Export Adviser @stepstone Amsterdam http://bit.ly/2w1nfiP  #Microsoft #SAP #Permanent,7.67461E+17,9.28192E+17
Community ITbavaria,0,0,2527204446,1.51013E+12,"SAP Analytics Consultant (w/m)‍ in Neubiberg‍, #Consultant #BI #Analyst #SAP‍http://r.ebnd.de/r/I6-ZB5 ",2527204446,9.28191E+17
Wences Lacaze,0,0,109026589,1.51013E+12,#SAP #SolEd2017 #FocusBuild the #SolMan72 demo in the cloud include the Focus Build functionality to play around and is great to show the customers how looks!!!,109026589,9.28191E+17
Michiel,0,0,8.37117E+17,1.51013E+12,"""The leader and the person are one. We lead by virtue of who we are."" #leadership #transformation  #SAP 

https://lnkd.in/erC5cRm ",8.37117E+17,9.28191E+17
Nicolas Henry,0,0,351145094,1.51013E+12,Day 2 BIDF Visual Storytelling in Israel. Thanks @adiroren for organising and #SAP for hosting. Need one in London @CrystalUKI @micoyukpic.twitter.com/xK9Oc9K4lE,351145094,9.28191E+17
LoG Medienkonzept,0,0,8.85545E+17,1.51013E+12,#SAP Gründer Hasso #Plattner soll SAP-Aktien im Wert von über 360 Millionen Euro verkauft.https://tinyurl.com/ycef37tn ,8.85545E+17,9.2819E+17
Siba Bot,0,0,7.9135E+17,1.51013E+12,"Interactive new tool for HR, Siba Bot, Chat and get employee details, salary etc, ex: emp id 20 #chatbots #ai #SAP #employment #OracleEBSpic.twitter.com/gIwQsnZCQB",7.9135E+17,9.2819E+17
