favorites,user_id,user_screen_name,user_name,tweet_id,text,created_at,retweets
0,25562270,25562270,Reuters Tech News,9.23E+17,SAP overhauls sales practices as it faces U.S. probe on South Africa http://reut.rs/2ljkZSk ,1.51E+12,1
1,25562270,25562270,Reuters Tech News,9.23E+17,SAP revises sales practices as it faces U.S. probe on South Africa http://reut.rs/2yKRRJb ,1.51E+12,4
1,25562270,25562270,Reuters Tech News,9.21E+17,"Just relax, Europe's tech leader SAP tells investors, fourth quarter will be dynamite http://reut.rs/2x7mqon ",1.51E+12,1
2,25562270,25562270,Reuters Tech News,9.21E+17,SAP profits miss forecasts as cloud shift inflates costs http://reut.rs/2x6pOzR ,1.51E+12,2
1,25562270,25562270,Reuters Tech News,9.21E+17,"SAP third-quarter growth slows on cloud, licenses dip http://reut.rs/2l1jCYs ",1.51E+12,1
6,25562270,25562270,Reuters Tech News,9.12E+17,SAP to buy data specialist Gigya http://reut.rs/2fqcyCP pic.twitter.com/9C8YBWaEZK,1.51E+12,10
0,25562270,25562270,Reuters Tech News,8.96E+17,Cyclicals and ex-divs sap European shares amid earnings flurry http://reut.rs/2wKRYjb pic.twitter.com/scAqbmGCNT,1.50E+12,0
1,25562270,25562270,Reuters Tech News,8.93E+17,SAP says restrictions on new recruitment not a general hiring freeze http://reut.rs/2we28JY ,1.50E+12,3
2,25562270,25562270,Reuters Tech News,8.88E+17,SAP posts second quarter profit below forecast on higher cloud costs http://reut.rs/2gM7TL5 ,1.50E+12,2
0,25562270,25562270,Reuters Tech News,8.87E+17,South African opposition party to file criminal complaint against SAP http://reut.rs/2uAkw1U ,1.50E+12,1
1,25562270,25562270,Reuters Tech News,8.78E+17,"Under pressure, companies including Cisco, IBM and SAP bow to Russian demands to share cyber secrets: http://reut.rs/2tVAIqa  #ReutersCyberpic.twitter.com/27MSkTn13X",1.50E+12,2
2,25562270,25562270,Reuters Tech News,8.59E+17,"Siemens, SAP sign cooperation deals with Saudi Arabia: officials http://reut.rs/2pM7ax0 pic.twitter.com/IpHEGXloO8",1.49E+12,6
2,25562270,25562270,Reuters Tech News,8.59E+17,"Siemens, SAP sign cooperation deals with Saudi Arabia: officials http://reut.rs/2pxwu97 ",1.49E+12,2
4,25562270,25562270,Reuters Tech News,8.57E+17,SAP core profit up 8 percent on acceleration in cloud product sales http://reut.rs/2pZiIKh ,1.49E+12,4
2,25562270,25562270,Reuters Tech News,8.42E+17,SAP pushes to patch risky HANA security flaws before hackers strike http://reut.rs/2mIiCXR ,1.49E+12,3
0,25562270,25562270,Reuters Tech News,8.40E+17,"Canada's OutsideIQ, SAP Ariba partner to tackle compliance, risk http://reut.rs/2lMfpb7 ",1.49E+12,0
0,25562270,25562270,Reuters Tech News,8.40E+17,SAP to offer its business apps on Google Cloud http://reut.rs/2lZaBu6 ,1.49E+12,1
0,25562270,25562270,Reuters Tech News,8.37E+17,SAP CEO McDermott overtakes Daimler's Zetsche in 2016 pay http://reut.rs/2moY87F ,1.49E+12,1
5,25562270,25562270,Reuters Tech News,8.36E+17,Apple and SAP to release tool to build business apps http://reut.rs/2lqVaeO ,1.49E+12,5
3,25562270,25562270,Reuters Tech News,8.26E+17,European tech giant SAP reassures staff alarmed by Trump travel ban http://reut.rs/2kJBjL2 ,1.49E+12,9
1,25562270,25562270,Reuters Tech News,8.24E+17,"SAP raises outlook, says trade uncertainties can help sales http://reut.rs/2jYXLza pic.twitter.com/VzBBNvj1zV",1.49E+12,0
1,25562270,25562270,Reuters Tech News,8.04E+17,SAP CFO says confident on performance for rest of 2016 http://reut.rs/2g6Kmje ,1.48E+12,1
3,25562270,25562270,Reuters Tech News,7.79E+17,SAP and Bosch team up on Internet of Things http://reut.rs/2diU2ta ,1.47E+12,8
2,25562270,25562270,Reuters Tech News,7.64E+17,Europe's biggest software maker SAP ditches annual reviews http://reut.rs/2bmg8Kr ,1.47E+12,9
1,25562270,25562270,Reuters Tech News,7.56E+17,Unexpected high license growth fuels SAP second-quarter operating profit beat http://reut.rs/29Tg6KQ pic.twitter.com/0nR78PjA9O,1.47E+12,6
5,25562270,25562270,Reuters Tech News,7.56E+17,SAP second-quarter operating profit beats expectations on license growth http://reut.rs/29Tth8E ,1.47E+12,6
4,25562270,25562270,Reuters Tech News,7.33E+17,"UPS, SAP team up for on-demand 3D printing network http://reut.rs/204cNyy ",1.46E+12,6
3,25562270,25562270,Reuters Tech News,7.31E+17,SAP CEO says sees HANA enterprise cloud break-even this year http://reut.rs/2205fhS pic.twitter.com/tP11sCURjH,1.46E+12,4
2,25562270,25562270,Reuters Tech News,7.31E+17,SAP CEO says sees HANA enterprise cloud break-even this year http://reut.rs/1ZIc31K ,1.46E+12,9
1,25562270,25562270,Reuters Tech News,7.30E+17,Exclusive: Security bug SAP patched years ago draws U.S. government alert http://reut.rs/1ZF83iy ,1.46E+12,1
4,25562270,25562270,Reuters Tech News,7.28E+17,SAP teams up with Apple to bring SAP's HANA to iOS http://reut.rs/1SPVtMR pic.twitter.com/3TD8N8S2yG,1.46E+12,8
6,25562270,25562270,Reuters Tech News,7.28E+17,SAP teams up with Apple to bring SAP's HANA to iOS http://reut.rs/26XBsdq ,1.46E+12,10
2,25562270,25562270,Reuters Tech News,7.19E+17,SAP first-quarter results fall short as U.S. license sales slow http://reut.rs/25QfF6M pic.twitter.com/VImyhXJ8Cm,1.46E+12,8
0,25562270,25562270,Reuters Tech News,7.19E+17,SAP first-quarter results fall short as U.S. license sales slow http://reut.rs/23iXYyc ,1.46E+12,6
1,25562270,25562270,Reuters Tech News,7.15E+17,"SAP awards hefty option boost to executives, plans 5 percent dividend rise http://reut.rs/22KhRxO ",1.46E+12,3
3,25562270,25562270,Reuters Tech News,7.13E+17,"SAP extends contracts for executive team, including CEO, until 2021 http://reut.rs/21JbzIU ",1.46E+12,6
2,25562270,25562270,Reuters Tech News,6.90E+17,SAP raises 2017 financial targets as cloud shift presses margins http://reut.rs/1JnOpVw ,1.45E+12,4
2,25562270,25562270,Reuters Tech News,6.87E+17,"Renewals and 'cloud' sales boost SAP, but outlook cautious http://reut.rs/1RzbLKA ",1.45E+12,3
4,25562270,25562270,Reuters Tech News,6.82E+17,Exclusive: U.S. ties ex-Panamanian president to SAP software bribery scheme http://reut.rs/1IFllsj pic.twitter.com/2sH5M4vENc,1.45E+12,8
1,25562270,25562270,Reuters Tech News,6.82E+17,Exclusive: U.S. ties ex-Panamanian president to SAP software bribery scheme http://reut.rs/1QZOaCz ,1.45E+12,5
2,25562270,25562270,Reuters Tech News,6.82E+17,Exclusive: U.S. ties ex-Panamanian president to SAP software bribery scheme http://reut.rs/1QX8tkb ,1.45E+12,5
2,25562270,25562270,Reuters Tech News,6.56E+17,SAP CEO says cloud business could beat 2015 targets http://reut.rs/1RTp9pD ,1.45E+12,8
2,25562270,25562270,Reuters Tech News,6.54E+17,SAP third-quarter operating profit beats estimates on mature markets http://reut.rs/1WYLuoT pic.twitter.com/xjIY0JXlro,1.44E+12,3
10,25562270,25562270,Reuters Tech News,6.54E+17,SAP third-quarter operating profit beats estimates http://reut.rs/1Zx2hBD ,1.44E+12,16
2,25562270,25562270,Reuters Tech News,6.45E+17,SAP boss McDermott loses eye after falling down stairs http://reut.rs/1QkbRBa ,1.44E+12,2
2,25562270,25562270,Reuters Tech News,6.44E+17,Germany's SAP working on migrant registration app http://reut.rs/1Nxqimn ,1.44E+12,6
0,25562270,25562270,Reuters Tech News,6.42E+17,SAP CFO says on track to meet 2015 targets http://reut.rs/1Q3Gk6r ,1.44E+12,5
2,25562270,25562270,Reuters Tech News,6.39E+17,New SAP software aims to help companies make sense of data deluge http://reut.rs/1LSJxYr pic.twitter.com/Qlgswb2frv,1.44E+12,6
0,25562270,25562270,Reuters Tech News,6.39E+17,New SAP software aims to help companies make sense of data deluge http://reut.rs/1N0DRul ,1.44E+12,3
4,25562270,25562270,Reuters Tech News,6.26E+17,"Anaplan targets SAP, Oracle in fast-growing business planning market http://reut.rs/1D6qS8m ",1.44E+12,7
1,25562270,25562270,Reuters Tech News,6.23E+17,SAP CFO says H2 pipeline looks very healthy http://reut.rs/1DrNV8k ,1.44E+12,2
1,25562270,25562270,Reuters Tech News,6.23E+17,SAP posts second quarter profit at low end of expectations as cloud weighs http://reut.rs/1CMCPA7 ,1.44E+12,3
0,25562270,25562270,Reuters Tech News,6.01E+17,SAP CEO says he does not believe Salesforce will be sold http://reut.rs/1Lkzbgc ,1.43E+12,4
1,25562270,25562270,Reuters Tech News,5.90E+17,"SAP first quarter profit in line as sales surge, aided by cheap euro http://reut.rs/1E5iDaL ",1.43E+12,5
2,25562270,25562270,Reuters Tech News,5.83E+17,SAP co-founder Klaus Tschira dies http://reut.rs/1xT9qSj ,1.43E+12,0
4,25562270,25562270,Reuters Tech News,5.82E+17,Salesforce aims to surpass SAP on German market: executive tells WiWo http://reut.rs/1xI9q7v ,1.43E+12,5
0,25562270,25562270,Reuters Tech News,5.78E+17,SAP sees procurement services as the cloud's silver lining http://reut.rs/1BufAmD ,1.43E+12,0
0,25562270,25562270,Reuters Tech News,5.74E+17,"SAP to cut 2,250 posts while creating similar number in refocusing http://reut.rs/1CFIOp5 ",1.43E+12,3
1,25562270,25562270,Reuters Tech News,5.63E+17,SAP launches biggest software product overhaul in two decades http://reut.rs/1Ao9wkO ,1.42E+12,5
